personId,partitionDate,signedOffSwt,amountType,wages,hoursAmount,daysAmount,combinedPayCodeSwt,payCode,payCodeId,wageMultiplier,payPeriodWeek,payPeriodNumber,laborTransferSwt,wageAddition,orgTransferSwt,orgId,isFromCorrection,costCenterId,laborEntryName1,laborEntryName2,laborEntryName3,laborEntryName4,laborEntryName5,laborEntryName6,uniqueId,updateDtm,costCenter,laborEntryDesc1,laborEntryDesc2,laborEntryDesc3,laborEntryDesc4,laborEntryDesc5,laborEntryDesc6,assignmentId
1152476,2024-08-14,,HOUR,0.0,8.0,0.0,true,Actual combined hours,2000000010,1.0,,,false,0.0,false,10660,false,1509,507051380398,Empty,Empty,,,,-1000290409137857272,2024-08-27 11:00:05.034221,50705138,Physical Therapist,Empty,Empty,,,,
42104,2025-11-28,,HOUR,0.0,12.1,0.0,true,Analytics - Paid Hours,1551,1.0,,,false,0.0,false,8786,false,4647,521011020005,Empty,Empty,,,,-1000411183008275165,2025-12-01 14:02:25.429951,52101102,Patient Care Tech II,Empty,Empty,,,,
55445,2025-11-10,,HOUR,0.0,12.049999999999999,0.0,true,Analytics - Paid Hours,1551,1.0,,,false,0.0,false,6198,false,4014,520013680011,Empty,Empty,,,,-1000418915298980371,2025-11-11 14:03:34.503987,52001368,RN,Empty,Empty,,,,
34494,2025-05-29,,HOUR,0.0,8.0,0.0,true,Analytics - Paid Hours,1551,1.0,,,false,0.0,false,11042,false,187,102007420017,Empty,Empty,,,,-1000420070191484064,2025-05-30 11:04:00.783173,10200742,IT Systems Analyst II,Empty,Empty,,,,
64416,2023-11-06,,HOUR,0.0,6.3,0.0,false,REG,114,1.0,,,true,0.0,true,12007,false,7375,530013020314,CL5,Empty,,,,-1001055573889369492,2024-04-01 17:04:53.144351,53001010,RN,Career Ladder 5,Empty,,,,
44596,2023-11-26,,HOUR,0.0,1.5333333333333334,0.0,true,Actual combined hours,2000000010,1.0,,,false,0.0,false,8438,false,6945,526052010006,Empty,Empty,,,,-1001203974976742905,2024-05-08 10:55:45.538858,52605201,Patient Access Rep,Empty,Empty,,,,
13264,2025-03-21,,HOUR,0.0,8.0,0.0,false,PTO,163,1.0,,,false,0.0,false,11912,false,9746,544538280004,Empty,Empty,,,,-1001232212783694494,2025-03-21 16:44:26.018495,54453828,Receptionist,Empty,Empty,,,,
13976,2025-03-07,,HOUR,0.0,9.416666666666668,0.0,true,Worked Hours,2000000008,1.0,,,false,0.0,false,5629,false,9273,543051760001,Empty,Empty,,,,-1001257728349654073,2025-03-08 12:11:47.923033,54305176,Respiratory Therapy Coordinator,Empty,Empty,,,,
71835,2024-08-22,,HOUR,0.0,21.35,0.0,true,Worked Hours,2000000008,1.0,,,true,0.0,true,4551,false,10663,551551760004,Empty,Empty,,,,-1001264127472149304,2024-08-27 11:00:05.034221,55005176,Respiratory Therapist RRT,Empty,Empty,,,,
40881,2025-08-27,,HOUR,0.0,11.999999999999998,0.0,true,Worked Hours,2000000008,1.0,,,false,0.0,true,35808,false,7250,530051760289,Empty,Empty,,,,-1001431930500289114,2025-08-28 13:03:51.197903,53005176,Respiratory Therapist RRT,Empty,Empty,,,,
98156,2025-02-21,,HOUR,0.0,6.699999999999999,0.0,false,SHF2,165,1.0,,,false,0.0,false,9585,false,11318,552550580006,Empty,UTHET CERT,,,,-1002637387146457171,2025-02-22 12:13:20.771852,55255058,RN,Empty,UTHET CERT,,,,
14005,2025-03-10,,HOUR,0.0,7.6,0.0,true,Actual combined hours,2000000010,1.0,,,false,0.0,false,4811,false,9274,54305198U011,Empty,Empty,,,,-1002727003952052086,2025-03-11 11:33:32.74837,54305198,Operating Room Aide,Empty,Empty,,,,
75399,2025-01-09,,HOUR,0.0,4.416666666666667,0.0,true,Worked Hours,2000000008,1.0,,,false,0.0,true,21038,false,10594,550050941005,Empty,UTHET CERT,,,,-1003037770609818893,2025-01-11 11:39:13.355033,55005094,Medical Lab Technician I,Empty,UTHET CERT,,,,
1331917,2024-06-15,,HOUR,0.0,12.316666666666666,0.0,true,Actual combined hours,2000000010,1.0,,,false,0.0,false,7946,false,7941,540011110019,Empty,Empty,,,,-1003186381027488941,2024-06-17 11:13:59.885798,54001111,Non-Employed RN,Empty,Empty,,,,
